molecule_chembl_id,canonical_smiles,standard_value
CHEMBL3287052,COC(=O)c1ccc(O)c2c1C1(CCN(CC(C)(C)C)CC1)CN2c1ccccc1NC(=O)Nc1ccc(OC(F)(F)F)cc1,0.15
CHEMBL3287041,CC(C)(C)CN1CCC2(CC1)CN(c1ccccc1NC(=O)Nc1ccc(OC(F)(F)F)cc1)c1c(O)ccc(C(F)(F)F)c12,0.14
CHEMBL3287042,CN(C)S(=O)(=O)c1ccc(O)c2c1C1(CCN(CC(C)(C)C)CC1)CN2c1ccccc1NC(=O)Nc1ccc(OC(F)(F)F)cc1,0.13
CHEMBL3287043,CC(C)(C)CN1CCC2(CC1)CN(c1ccccc1NC(=O)Nc1ccc(OC(F)(F)F)cc1)c1c(O)ccc(C#N)c12,0.04
CHEMBL3287044,CC(C)(C)CN1CCC2(CC1)CN(c1ccccc1NC(=O)Nc1ccc(OC(F)(F)F)cc1)c1c(O)ccc(Cl)c12,0.04
CHEMBL3287045,CC(C)(C)CN1CCC2(CC1)CN(c1ccccc1NC(=O)Nc1ccc(OC(F)(F)F)cc1)c1c(O)ccc(F)c12,0.37
CHEMBL3287046,CC(C)(C)CN1CCC2(CC1)CN(c1ccccc1NC(=O)Nc1ccc(OC(F)(F)F)cc1)c1cc(O)ccc12,4.6
CHEMBL3287047,CC(C)(C)CN1CCC2(CC1)CN(c1ccccc1NC(=O)Nc1ccc(OC(F)(F)F)cc1)c1c(O)cccc12,0.23
CHEMBL3314287,CC1(C)CN(c2ccccc2NC(=O)Nc2nc3ccc(Cl)nc3s2)c2c(O)ccc(Cl)c21,0.14
CHEMBL3314288,CC1(C)CN(c2ccccc2NC(=O)Nc2ccc(OC(F)(F)F)cc2)c2c(O)ccc(Cl)c21,0.39
CHEMBL3314289,CC1(CC(F)(F)F)CN(c2ccccc2NC(=O)Nc2ccc(OC(F)(F)F)cc2)c2c(O)ccc(Cl)c21,1.96
CHEMBL3314290,CCOC(=O)C1(C)CN(c2ccccc2NC(=O)Nc2ccc(OC(F)(F)F)cc2)c2c(O)ccc(Cl)c21,0.09
CHEMBL3314291,CCOC(=O)C1(C)CN(c2ccccc2NC(=O)Nc2nc3ccc(Cl)nc3s2)c2c(O)ccc(Cl)c21,0.05
CHEMBL3314292,CC1(CO)CN(c2ccccc2NC(=O)Nc2nc3ccc(Cl)nc3s2)c2c(O)ccc(Cl)c21,
CHEMBL3314293,CC1(C(=O)O)CN(c2ccccc2NC(=O)Nc2nc3ccc(Cl)nc3s2)c2c(O)ccc(Cl)c21,
CHEMBL3314294,CNC(=O)C1(C)CN(c2ccccc2NC(=O)Nc2nc3ccc(F)cc3s2)c2c(O)ccc(Cl)c21,
CHEMBL3314295,CC1(C)CN(c2ccccc2NC(=O)Nc2ccc(OC(F)(F)F)cc2)c2c(O)ccc(-c3ccccc3)c21,0.37
CHEMBL3314296,CC1(C)CN(c2ccccc2NC(=O)Nc2ccc(OC(F)(F)F)cc2)c2c(O)ccc(-c3ccccc3F)c21,0.37
CHEMBL3314297,CC1(C)CN(c2ccccc2NC(=O)Nc2ccc(OC(F)(F)F)cc2)c2c(O)ccc(-c3cccc(F)c3)c21,0.15
CHEMBL3314298,CC1(C)CN(c2ccccc2NC(=O)Nc2ccc(OC(F)(F)F)cc2)c2c(O)ccc(-c3ccc(F)cc3)c21,0.33
CHEMBL3314299,CC1(C)CN(c2ccccc2NC(=O)Nc2ccc(OC(F)(F)F)cc2)c2c(O)ccc(-c3ccc(Cl)cc3)c21,0.13
CHEMBL3314300,CC1(C)CN(c2ccccc2NC(=O)Nc2ccc(OC(F)(F)F)cc2)c2c(O)ccc(-c3ccc(C(F)(F)F)cc3)c21,1.51
CHEMBL3314301,CC1(C)CN(c2ccccc2NC(=O)Nc2ccc(OC(F)(F)F)cc2)c2c(O)ccc(-c3ccc(F)cc3F)c21,0.52
CHEMBL3314302,CC1(C)CN(c2ccccc2NC(=O)Nc2ccc(OC(F)(F)F)cc2)c2c(O)ccc(-c3ccc(F)c(F)c3)c21,1.8
CHEMBL3314303,CC1(C)CN(c2ccccc2NC(=O)Nc2ccc(OC(F)(F)F)cc2)c2c(O)ccc(-c3cc(F)cc(F)c3)c21,0.57
CHEMBL3314304,CC1(C)CN(c2ccccc2NC(=O)Nc2nc3ccc(Cl)nc3s2)c2c(O)ccc(-c3ccc(F)cc3)c21,0.13
CHEMBL3314305,CC1(C)CN(c2ccccc2NC(=O)Nc2csc(Cl)n2)c2c(O)ccc(-c3ccc(F)cc3)c21,0.03
CHEMBL3314306,Cc1nc(NC(=O)Nc2ccccc2N2CC(C)(C)c3c(-c4ccc(F)cc4)ccc(O)c32)cs1,0.08
CHEMBL3314307,CC(C)CN1CCCC1c1ccc(NC(=O)Nc2ccccc2N2CC(C)(C)c3c(-c4ccc(F)cc4)ccc(O)c32)cc1,0.02
CHEMBL3314308,CC(C)(C)CN1CCCC1c1ccc(NC(=O)Nc2ccccc2N2CC(C)(C)c3c(-c4ccc(F)cc4)ccc(O)c32)cc1,0.04
CHEMBL3314309,CC1(C)CN(c2ccccc2NC(=O)Nc2ccc(OC(F)(F)F)cc2)c2c(O)cc(F)c(-c3ccc(F)cc3)c21,0.23
CHEMBL3314310,CC1(C)CN(c2ccccc2NC(=O)Nc2ccc(OC(F)(F)F)cc2)c2c(O)c(F)cc(-c3ccc(F)cc3)c21,0.45
CHEMBL3314311,CC1(C)CN(c2ccccc2NC(=O)Nc2ccc(OC(F)(F)F)cc2)c2c(O)cc(F)c(-c3ccc(Cl)cc3)c21,1.06
CHEMBL3314312,CC1(C)CN(c2ccccc2NC(=O)Nc2ccc(OC(F)(F)F)cc2)c2c(O)c(F)cc(-c3ccc(Cl)cc3)c21,
CHEMBL3314313,CC1(C)CN(c2ccccc2NC(=O)Nc2ccc(OC(F)(F)F)cc2)c2c(O)cc(F)c(-c3ccc(Cl)s3)c21,2.3
CHEMBL3314314,CC1(C)CN(c2ccccc2NC(=O)Nc2ccc(OC(F)(F)F)cc2)c2c(O)cc(F)c(-c3ccc(C(F)(F)F)cn3)c21,0.57
CHEMBL3314315,CC1(C)CN(c2ccccc2NC(=O)Nc2ccc(OC(F)(F)F)cc2)c2c(O)cc(F)c(-c3ccc(C(F)(F)F)nc3)c21,0.51
CHEMBL3314316,CC1(C)CN(c2ccccc2NC(=O)Nc2ccc(OC(F)(F)F)cc2)c2c(O)cc(F)c(-c3cc(F)nc(F)c3)c21,0.47
CHEMBL3314317,CC1(C)CN(c2ccccc2NC(=O)Nc2ccc(OC(F)(F)F)cc2)c2c(O)cc(F)c(-c3ncc(F)cn3)c21,0.3
CHEMBL3314318,CC1(C)CN(c2ccccc2NC(=O)Nc2ccc(OC(F)(F)F)cc2)c2c(O)cc(F)c(-c3cnc(Cl)cn3)c21,
CHEMBL3314319,CC(C)(C)CN1CCC2(CC1)CN(c1ccccc1NC(=O)Nc1ccc(OC(F)(F)F)cc1)c1c(O)cc(F)c(-c3ccc(Cl)cc3)c12,0.16
CHEMBL3314320,CC(C)(C)CN1CCC2(CC1)CN(c1ccccc1NC(=O)Nc1ccc(OC(F)(F)F)cc1)c1c(O)cc(F)c(-c3ccc(F)cc3)c12,0.09
CHEMBL3314321,CC(C)(C)CN1CCC2(CC1)CN(c1ccccc1NC(=O)Nc1nc3ccc(Cl)nc3s1)c1c(O)cc(F)c(-c3ccc(F)cc3)c12,0.12
CHEMBL3747288,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([S-])OP(=O)([O-])C(Cl)P(=O)([O-])OP(=O)([S-])OC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2O)[C@@H](O)[C@H]1O.[Na+].[Na+].[Na+].[Na+],10200.0
